CSCE-110-501,
,08:00 - 08:50
,"TU,TH"
CSCE-110-502,
,08:00 - 08:50
,"MO,WE"
CSCE-110-503,
,15:00 - 15:50
,"MO,WE"
CSCE-110-504,
,17:45 - 18:35
,"MO,WE"
CSCE-111-501,
,12:40 - 13:30
,"MO,WE"
CSCE-111-502,
,13:50 - 14:40
,"MO,WE"
CSCE-111-503,
,09:35 - 10:25
,"TU,TH"
CSCE-111-504,
,15:55 - 16:45
,"TU,TH"
CSCE-113-501,
,09:10 - 10:00
,"MO,WE"
CSCE-113-502,
,10:20 - 11:10
,"MO,WE"
CSCE-121-200,
,11:10 - 12:20
,"TU,TH"
CSCE-121-501,
,12:40 - 13:30
,"MO,WE"
CSCE-121-502,
,11:30 - 12:20
,"MO,WE"
CSCE-121-503,
,09:35 - 10:25
,"TU,TH"
CSCE-121-504,
,15:55 - 16:45
,"TU,TH"
CSCE-121-505,
,12:45 - 13:45
,"TU,TH"
CSCE-121-506,
,14:20 - 15:10
,"TU,TH"
CSCE-121-507,
,09:35 - 10:25
,"TU,TH"
CSCE-121-508,
,15:55 - 16:45
,"TU,TH"
CSCE-121-509,
,12:45 - 13:35
,"TU,TH"
CSCE-121-510,
,9:35 - 10:25
,"TU,TH"
CSCE-121-511,
,17:30 - 18:20
,"TU,TH"
CSCE-121-512,
,17:30 - 18:20
,"TU,TH"
CSCE-206-501,
,09:10 - 10:00
,"MO,WE"
CSCE-206-502,
,11:30 - 12:20
,"MO,WE"
CSCE-206-503,
,12:45 - 13:35
,"TU,TH"
CSCE-206-504,
,10:20 - 11:10
,"MO,WE"
CSCE-206-505,
,11:10 - 12:00
,"TU,TH"
CSCE-206-506,
,14:20 - 15:10
,"TU,TH"
CSCE-221-200,
,09:10 - 10:00
,"MO,WE"
CSCE-221-501,
,12:40 - 13:30
,"MO,WE"
CSCE-221-502,
,15:00 - 15:50
,"MO,WE"
CSCE-221-503,
,11:10 - 12:00
,"TU,TH"
CSCE-221-504,
,12:45 - 13:35
,"TU,TH"
CSCE-221-505,
,13:50 - 14:40
,"MO,WE"
CSCE-221-506,
,16:10 - 17:00
,"MO,WE"
CSCE-221-507,
,15:55 - 16:45
,"TU,TH"
CSCE-221-508,
,08:00 - 08:50
,"MO,WE"
CSCE-221-509,
,14:20 - 15:10
,"TU,TH"
CSCE-221-510,
,17:45 - 18:35
,"MO,WE"
CSCE-221-511,
,17:30 - 18:20
,"TU,TH"
CSCE-221-512,
,15:00 - 15:50
,"MO,WE"
CSCE-312-501,
,16:00 - 17:40
,FR
CSCE-312-502,
,10:20 - 12:00
,FR
CSCE-312-503,
,12:20 - 14:00
,FR
CSCE-313-200,
,08:00 - 08:50
,"MO,WE"
CSCE-313-501,
,15:00 - 16:40
,FR
CSCE-313-502,
,17:00 - 18:40
,FR
CSCE-313-503,
,08:00 - 9:30
,FR
CSCE-313-504,
,10:20 - 12:00
,FR
CSCE-313-507,
,09:10 - 10:00
,"MO,WE"
CSCE-313-508,
,10:00 - 11:40
,FR
CSCE-313-509,
,08:00 - 08:50
,"TU,TH"
CSCE-313-510,
,08:00 - 09:40
,FR
